what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1424613056647
java.version,sysinfo,,,"1.6.0_45",1424613056647
java.vm.info,sysinfo,,,"mixed mode",1424613056647
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1424613056647
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1424613056647
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1424613056647
java.vm.specification.version,sysinfo,,,"1.0",1424613056647
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1424613056647
java.vm.version,sysinfo,,,"20.45-b01",1424613056647
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1424613058270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424613065773
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1424613070016
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1424613070297
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1424613070531
started,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1424613070718
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1424613071108
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1424613071155
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1424613072294
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1424613072622
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1424613072746
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.10,"org.tigris.subversion.clientadapter.javahl",1424613073667
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.7.9.2,"org.tigris.subversion.clientadapter.svnkit",1424613073714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424613075396
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1424613075426
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1424613090470
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424613099596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424613104261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424613109268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424613115680
