what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1392570434984
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1392570434999
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1392570434999
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1392570434999
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1392570435062
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1392570435062
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1392570435124
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1392570435124
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1392570435124
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1392570435124
started,bundle,com.collabnet.subversion.merge,3.0.13,"com.collabnet.subversion.merge",1392570435124
started,bundle,org.tigris.subversion.clientadapter,1.8.6,"org.tigris.subversion.clientadapter",1392570435124
started,bundle,org.tigris.subversion.subclipse.core,1.8.22,"org.tigris.subversion.subclipse.core",1392570435124
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1392570435124
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1392570435140
started,bundle,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui",1392570435155
os,sysinfo,,,"win32",1392570435155
arch,sysinfo,,,"x86_64",1392570435155
ws,sysinfo,,,"win32",1392570435155
locale,sysinfo,,,"en_US",1392570435155
processors,sysinfo,,,"4",1392570435155
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1392570435155
java.runtime.version,sysinfo,,,"1.7.0_11-b21",1392570435155
java.specification.name,sysinfo,,,"Java Platform API Specification",1392570435155
java.specification.vendor,sysinfo,,,"Oracle Corporation",1392570435155
java.specification.version,sysinfo,,,"1.7",1392570435155
java.vendor,sysinfo,,,"Oracle Corporation",1392570435155
java.version,sysinfo,,,"1.7.0_11",1392570435155
java.vm.info,sysinfo,,,"mixed mode",1392570435155
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1392570435155
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1392570435155
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1392570435155
java.vm.specification.version,sysinfo,,,"1.7",1392570435155
java.vm.vendor,sysinfo,,,"Oracle Corporation",1392570435155
java.vm.version,sysinfo,,,"23.6-b04",1392570435155
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1392570436185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392570437651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392570439664
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392570443017
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392570443111
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392570443127
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1392570447604
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392570447604
error,log,,,"The project description file (.project) for 'Ex1' is missing.  This file contains important information about the project.  The project will not function properly until this file is restored.",1392570464452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392570464545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392570466168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392570466729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392570469583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392570470207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392570471174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392570471190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392570479114
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1392570482156
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1392570482171
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1392570482218
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1392570482218
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1392570482436
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1392570482452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392570485556
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1392570488411
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1392570488739
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1392570488910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392570489254
