what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1397362320600
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1397362325155
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1397362326606
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1397362326762
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1397362334453
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397362337932
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1397362338712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.maximizePart",1397362340849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397362343969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397362344827
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1397362344874
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397362345139
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1397362377322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397362389256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397362389770
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1397362389833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397362389895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397362391315
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397362391408
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397362394575
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397362394856
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1397362396276
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1397362398850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397362401470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397362401954
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1397362402001
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1397362402328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397362418147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397362419192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397362419208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397362460680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397362523055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397362559420
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1397362644815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397363265976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397363509562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397363509567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397364544303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397364545993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397364901310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397364901669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397364902706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397364902998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397366613440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397366841117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397373529686
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1397373531209
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1397373532608
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1397373532657
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1397373532720
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1397399515287
